;US;EU;JAP;RUS;EUR;CHI;IND;MEST;AFR;LAM;OHI;OTH
Y_0;12.3979002;13.03105748;3.870283785;1.697956695;0.807335054;5.333232743;2.440831513;3.480103349;1.300530136;4.558476252;3.84204975;2.619188737
rho_0;0.062765473;0.067765473;0.062765473;0.082765473;0.077765473;0.072765473;0.077765473;0.092765473;0.082765473;0.077765473;0.067765473;0.077765473
K_0;22.85109974;23.30227532;7.133485459;2.787107432;1.362472206;9.260935035;4.119188282;5.416068489;2.134752445;7.692961135;6.87039415;4.420186931
A_0;11.34769536;8.347821548;9.062435157;4.867730775;2.70196943;2.2708227;1.498373969;3.894860836;1.25125954;3.730597775;9.029344259;1.754904331
s_0;0.231813978;0.216969635;0.212787174;0.201000206;0.208280632;0.311051097;0.272299975;0.225188001;0.263570046;0.24184775;0.229055432;0.24387583
L_0;296.842578;490.0801926;127.773;143.15;155.9424685;1304.5;1094.583;412.7690013;763.5061115;555.3800786;129.169624;937.195567
E_0;1.662133455;1.146050619;0.369965926;0.431236182;0.256666293;1.600741128;0.40515159;0.58967496;0.191377084;0.412272399;0.541778261;0.363952103
